section,half,round_no,battle_no,team1,team2,player1,player2,fise,winlose,class1_used,class1_pool,class2_used,class2_pool,video_url
1,前半戦,1,1,CR,ZETA,ふえた,CQCQ,先攻,WIN,ロイヤル,ロイヤル|ドラゴン|ネメシス,ウィッチ,ウィッチ|ドラゴン|ナイトメア,https://www.youtube.com/watch?v=4cbnMJyaBDA&t=2700
1,前半戦,1,2,CR,ZETA,Atom,ねぎま,先攻,WIN,ビショップ,ウィッチ|ビショップ,エルフ,エルフ|ネメシス,https://www.youtube.com/watch?v=4cbnMJyaBDA&t=3990
1,前半戦,1,3,CR,ZETA,Winter,ヘイム,先攻,LOSE,エルフ,エルフ|ナイトメア,ビショップ,ロイヤル|ビショップ,https://www.youtube.com/watch?v=4cbnMJyaBDA&t=5165
1,前半戦,1,4,CR,ZETA,チームバトル,チームバトル,後攻,WIN,ネメシス,ウィッチ|ドラゴン|ナイトメア|ネメシス,ドラゴン,ロイヤル|ドラゴン|ナイトメア|ネメシス,https://www.youtube.com/watch?v=4cbnMJyaBDA&t=7455
1,前半戦,2,1,DFM,VRL,かなで,まっつ,後攻,LOSE,ロイヤル,ロイヤル|ウィッチ|ビショップ,ネメシス,エルフ|ウィッチ|ネメシス,https://www.youtube.com/watch?v=4cbnMJyaBDA&t=11000
1,前半戦,2,2,DFM,VRL,ユーリ,Terarina,先攻,WIN,エルフ,エルフ|ナイトメア,ナイトメア,ナイトメア|ビショップ,https://www.youtube.com/watch?v=4cbnMJyaBDA&t=12256
1,前半戦,2,3,DFM,VRL,ミル,Mishadow51,後攻,WIN,ネメシス,ドラゴン|ネメシス,ドラゴン,ロイヤル|ドラゴン,https://www.youtube.com/watch?v=4cbnMJyaBDA&t=13464
1,前半戦,2,4,DFM,VRL,チームバトル,チームバトル,先攻,WIN,ナイトメア,ウィッチ|ドラゴン|ナイトメア|ビショップ,ウィッチ,エルフ|ロイヤル|ウィッチ|ビショップ,https://www.youtube.com/watch?v=4cbnMJyaBDA&t=14880
1,後半戦,1,1,RDL,LVH,ぱんさく,だーよね,後攻,LOSE,ビショップ,ロイヤル|ナイトメア|ビショップ,ナイトメア,エルフ|ナイトメア|ネメシス,https://www.youtube.com/watch?v=XeumPnnTzdQ&t=2585
1,後半戦,1,2,RDL,LVH,山田レクイエム,rikka,先攻,LOSE,ウィッチ,ウィッチ|ネメシス,ウィッチ,ウィッチ|ビショップ,https://www.youtube.com/watch?v=XeumPnnTzdQ&t=4100
1,後半戦,1,3,RDL,LVH,折り紙,Era53,先攻,LOSE,エルフ,エルフ|ドラゴン,ロイヤル,ロイヤル|ドラゴン,https://www.youtube.com/watch?v=XeumPnnTzdQ&t=5311
1,後半戦,1,4,RDL,LVH,チームバトル,チームバトル,先攻,WIN,ナイトメア,ロイヤル|ドラゴン|ナイトメア|ネメシス,ネメシス,エルフ|ドラゴン|ビショップ|ネメシス,https://www.youtube.com/watch?v=XeumPnnTzdQ&t=7075
1,後半戦,2,1,MRG,RC,Toby,拓海,後攻,LOSE,ビショップ,エルフ|ウィッチ|ビショップ,ビショップ,エルフ|ビショップ|ネメシス,https://www.youtube.com/watch?v=XeumPnnTzdQ&t=11135
1,後半戦,2,2,MRG,RC,Spicies,たばた,先攻,WIN,ロイヤル,ロイヤル|ナイトメア,ロイヤル,ロイヤル|ドラゴン,https://www.youtube.com/watch?v=XeumPnnTzdQ&t=12530
1,後半戦,2,3,MRG,RC,マイト,ぱらちゃん,後攻,LOSE,ネメシス,ドラゴン|ネメシス,ウィッチ,ウィッチ|ナイトメア,https://www.youtube.com/watch?v=XeumPnnTzdQ&t=13590
1,後半戦,2,4,MRG,RC,チームバトル,チームバトル,先攻,WIN,ウィッチ,エルフ|ウィッチ|ドラゴン|ナイトメア,ネメシス,エルフ|ドラゴン|ナイトメア|ネメシス,https://www.youtube.com/watch?v=XeumPnnTzdQ&t=15380
1,後半戦,2,5,MRG,RC,チームバトル,チームバトル,先攻,LOSE,エルフ,エルフ|ドラゴン|ナイトメア,ドラゴン,エルフ|ドラゴン|ナイトメア,https://www.youtube.com/watch?v=XeumPnnTzdQ&t=16755
2,前半戦,1,1,CR,VRL,空白,monakawan,後攻,WIN,ドラゴン,ロイヤル|ドラゴン|ナイトメア,ネメシス,ロイヤル|ビショップ|ネメシス,https://www.youtube.com/watch?v=MFduC1Mlva4&t=1750
2,前半戦,1,2,CR,VRL,ふえた,Mishadow51,後攻,WIN,ネメシス,エルフ|ネメシス,ドラゴン,エルフ|ドラゴン,https://www.youtube.com/watch?v=MFduC1Mlva4&t=3440
2,前半戦,1,3,CR,VRL,Atom,Terarina,後攻,WIN,ウィッチ,ウィッチ|ビショップ,ウィッチ,ウィッチ|ナイトメア,https://www.youtube.com/watch?v=MFduC1Mlva4&t=5070
2,前半戦,1,4,CR,VRL,チームバトル,チームバトル,先攻,WIN,エルフ,エルフ|ロイヤル|ナイトメア|ビショップ,ビショップ,エルフ|ロイヤル|ナイトメア|ビショップ,https://www.youtube.com/watch?v=MFduC1Mlva4&t=6910
2,前半戦,2,1,ZETA,LVH,ねぎま,だーよね,後攻,LOSE,ドラゴン,ドラゴン|ナイトメア|ネメシス,ネメシス,エルフ|ナイトメア|ネメシス,https://www.youtube.com/watch?v=MFduC1Mlva4&t=10215
2,前半戦,2,2,ZETA,LVH,ヘイム,Era53,先攻,WIN,ロイヤル,ロイヤル|ビショップ,ドラゴン,ロイヤル|ドラゴン,https://www.youtube.com/watch?v=MFduC1Mlva4&t=11840
2,前半戦,2,3,ZETA,LVH,CQCQ,rikka,先攻,LOSE,エルフ,エルフ|ウィッチ,ウィッチ,ウィッチ|ビショップ,https://www.youtube.com/watch?v=MFduC1Mlva4&t=13000
